/******************************************/
PAI_C	 Acc	 F1	 Max_F1
2	0.837057	0.836543	0.837057
4	0.834371	0.834094	0.837057
8	0.832414	0.831253	0.837057
16	0.830736	0.830312	0.837057
32	0.825264	0.821398	0.837057
/******************************************/

Best PAI_C: 	0.25
Best PAII_C:	0.03125
Best AROW_r=4	 AROW_eta=0.5
Best AROWC_r=2
