/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.0001	0.919929	0.919643	0.919929
0.001	0.923345	0.922911	0.923345
0.01	0.926157	0.92572	0.926157
0.1	0.926868	0.926568	0.926868
1	0.923648	0.922936	0.926868
10	0.910178	0.909175	0.926868
100	0.877402	0.873971	0.926868
1000	0.841219	0.835864	0.926868
10000	0.816833	0.80305	0.926868
100000	0.798932	0.764602	0.926868
/******************************************/

Best PAI_C: 	1
Best PAII_C:	0.1
Best AROW_r=0.01	 AROW_eta=100
Best AROWC_r=0.1
