/******************************************/
PAI_C	 Acc	 F1	 Max_F1
r	 acc	 f1	 max_F1
1e-005	0.922126	0.457009	0.922126
0.0001	0.922221	0.459446	0.922221
0.001	0.922132	0.459376	0.922221
0.01	0.921964	0.456823	0.922221
0.1	0.921958	0.456267	0.922221
1	0.92121	0.440032	0.922221
10	0.918745	0.389955	0.922221
100	0.910846	0.22165	0.922221
1000	0.904216	0.00988489	0.922221
10000	0.903894	8.14076e-005	0.922221
100000	0.903893	5.97009e-005	0.922221
/******************************************/

Best PAI_C: 	0.1
Best PAII_C:	0.1
Best AROW_r=10	 AROW_eta=10
Best AROWC_r=0.0001
