/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.0001	0.984538	0.727685	0.984538
0.001	0.984809	0.731226	0.984809
0.01	0.985233	0.737214	0.985233
0.1	0.985436	0.735537	0.985436
1	0.984668	0.713825	0.985436
10	0.981137	0.61404	0.985436
100	0.975332	0.394464	0.985436
1000	0.972602	0.190371	0.985436
10000	0.972252	0.110839	0.985436
100000	0.972027	0.0912691	0.985436
/******************************************/

Best PAI_C: 	1
Best PAII_C:	0.1
Best AROW_r=0.1	 AROW_eta=10
Best AROWC_r=0.1
