/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.0001	0.589524	0.576756	0.589525
0.001	0.589577	0.576816	0.589577
0.01	0.589883	0.576807	0.589883
0.1	0.588809	0.57558	0.589883
1	0.586317	0.569893	0.589883
10	0.577921	0.553206	0.589883
100	0.557588	0.505475	0.589883
1000	0.531766	0.411647	0.589883
10000	0.511657	0.238746	0.589883
100000	0.502491	0.0844615	0.589883
/******************************************/

Best PAI_C: 	0.1
Best PAII_C:	0.01
Best AROW_r=0.01	 AROW_eta=1000
Best AROWC_r=0.01
