/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.0001	0.866985	0.886834	0.866985
0.001	0.874212	0.892021	0.874212
0.01	0.865681	0.88251	0.874212
0.1	0.79135	0.832811	0.874212
1	0.709052	0.786336	0.874212
10	0.655292	0.768535	0.874212
100	0.609433	0.755776	0.874212
1000	0.604869	0.753592	0.874212
10000	0.604869	0.753532	0.874212
100000	0.604869	0.753458	0.874212
/******************************************/

Best PAI_C: 	1
Best PAII_C:	0.1
Best AROW_r=0.001	 AROW_eta=10000
Best AROWC_r=0.001
