/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.0001	0.843835	0.643424	0.843835
0.001	0.84418	0.645808	0.84418
0.01	0.844633	0.646356	0.844633
0.1	0.845184	0.645742	0.845184
1	0.845869	0.644451	0.845869
10	0.843838	0.625746	0.845869
100	0.829693	0.543564	0.845869
1000	0.779669	0.179992	0.845869
10000	0.759169	0.000305644	0.845869
100000	0.759143	0.000203848	0.845869
/******************************************/

Best PAI_C: 	0.1
Best PAII_C:	0.01
Best AROW_r=10	 AROW_eta=1
Best AROWC_r=1
