/******************************************/
PAI_C	 Acc	 F1	 Max_F1
0.0001	0.762099	0.79598	0.762116
0.001	0.762031	0.795934	0.762116
0.01	0.761978	0.795926	0.762116
0.1	0.761863	0.795916	0.762116
1	0.760968	0.795779	0.762116
10	0.75624	0.796182	0.762116
100	0.730253	0.78927	0.762116
1000	0.681114	0.769756	0.762116
10000	0.589703	0.730594	0.762116
100000	0.565473	0.72243	0.762116
/******************************************/

Best PAI_C: 	0.1
Best PAII_C:	0.1
Best AROW_r=10	 AROW_eta=10
Best AROWC_r=1e-005
