/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
1	0.985423	0.99251	0.985546
2	0.985535	0.992567	0.985546
4	0.985498	0.992547	0.985546
8	0.985498	0.992548	0.985546
16	0.985467	0.992532	0.985546
32	0.98547	0.992533	0.985546
/******************************************/

Best PAI_C: 	0.5
Best PAII_C:	0.125
Best AROW_r=0.125	 AROW_eta=16
Best AROWC_r=0.25
