/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.985808	0.964906	0.985808
0.0625	0.985333	0.9638	0.985808
0.125	0.985123	0.963281	0.985808
0.25	0.984875	0.962628	0.985808
0.5	0.984056	0.960448	0.985808
1	0.982255	0.955657	0.985808
2	0.979357	0.94795	0.985808
4	0.977506	0.943073	0.985808
8	0.97718	0.94221	0.985808
16	0.977266	0.942448	0.985808
32	0.977301	0.94253	0.985808
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.984684	0.962179	0.984684
0.0625	0.984418	0.961468	0.984684
0.125	0.983855	0.959953	0.984684
0.25	0.98291	0.957429	0.984684
0.5	0.981675	0.95411	0.984684
1	0.980128	0.949984	0.984684
2	0.978825	0.946545	0.984684
4	0.97815	0.94476	0.984684
8	0.977624	0.943396	0.984684
16	0.97747	0.942973	0.984684
32	0.977305	0.942546	0.984684
/******************************************/
/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.03125	0.03125	0.976244	0.937435	0.976244
0.03125	0.0625	0.97481	0.933285	0.976244
0.03125	0.125	0.97465	0.932945	0.976244
0.03125	0.25	0.977845	0.942191	0.977845
0.03125	0.5	0.975738	0.93622	0.977845
0.03125	1	0.976662	0.938808	0.977845
0.03125	2	0.975944	0.937018	0.977845
0.03125	4	0.979154	0.94609	0.979154
0.03125	8	0.983966	0.959704	0.983966
0.03125	16	0.987274	0.968414	0.987274
0.03125	32	0.987417	0.968848	0.987417
0.0625	0.03125	0.977296	0.94051	0.987417
0.0625	0.0625	0.976369	0.937581	0.987417
0.0625	0.125	0.978245	0.94336	0.987417
0.0625	0.25	0.976965	0.939694	0.987417
0.0625	0.5	0.978093	0.942965	0.987417
0.0625	1	0.977551	0.941434	0.987417
0.0625	2	0.979149	0.946234	0.987417
0.0625	4	0.984577	0.961336	0.987417
0.0625	8	0.987145	0.9681	0.987417
0.0625	16	0.987269	0.968474	0.987417
0.0625	32	0.987505	0.969056	0.987505
0.125	0.03125	0.977889	0.942252	0.987505
0.125	0.0625	0.977544	0.941454	0.987505
0.125	0.125	0.978608	0.944456	0.987505
0.125	0.25	0.977769	0.942372	0.987505
0.125	0.5	0.977726	0.942137	0.987505
0.125	1	0.978659	0.944634	0.987505
0.125	2	0.983645	0.958899	0.987505
0.125	4	0.987282	0.968453	0.987505
0.125	8	0.986999	0.967841	0.987505
0.125	16	0.98718	0.968282	0.987505
0.125	32	0.987649	0.969404	0.987649
0.25	0.03125	0.977032	0.940145	0.987649
0.25	0.0625	0.977954	0.942397	0.987649
0.25	0.125	0.976901	0.939694	0.987649
0.25	0.25	0.976365	0.937557	0.987649
0.25	0.5	0.978376	0.944119	0.987649
0.25	1	0.98402	0.959902	0.987649
0.25	2	0.987069	0.967955	0.987649
0.25	4	0.986679	0.967067	0.987649
0.25	8	0.986869	0.967534	0.987649
0.25	16	0.987275	0.968501	0.987649
0.25	32	0.987664	0.96943	0.987664
0.5	0.03125	0.977373	0.940693	0.987664
0.5	0.0625	0.976913	0.939308	0.987664
0.5	0.125	0.976907	0.939301	0.987664
0.5	0.25	0.978163	0.943573	0.987664
0.5	0.5	0.983281	0.957975	0.987664
0.5	1	0.987268	0.968406	0.987664
0.5	2	0.985895	0.965193	0.987664
0.5	4	0.98623	0.966008	0.987664
0.5	8	0.986912	0.967633	0.987664
0.5	16	0.987272	0.968488	0.987664
0.5	32	0.987663	0.969424	0.987664
1	0.03125	0.976605	0.938484	0.987664
1	0.0625	0.976854	0.939257	0.987664
1	0.125	0.978147	0.94363	0.987664
1	0.25	0.982817	0.956751	0.987664
1	0.5	0.987257	0.968374	0.987664
1	1	0.986304	0.966158	0.987664
1	2	0.985762	0.964886	0.987664
1	4	0.986444	0.966517	0.987664
1	8	0.986878	0.967544	0.987664
1	16	0.987247	0.968419	0.987664
1	32	0.987585	0.969222	0.987664
2	0.03125	0.977256	0.940003	0.987664
2	0.0625	0.976545	0.938731	0.987664
2	0.125	0.98245	0.955762	0.987664
2	0.25	0.987119	0.968002	0.987664
2	0.5	0.986593	0.966835	0.987664
2	1	0.98531	0.963804	0.987664
2	2	0.985666	0.96466	0.987664
2	4	0.986428	0.966475	0.987664
2	8	0.986814	0.967385	0.987664
2	16	0.987203	0.968299	0.987664
2	32	0.987518	0.969044	0.987664
4	0.03125	0.975989	0.936812	0.987664
4	0.0625	0.982034	0.954641	0.987664
4	0.125	0.986985	0.967652	0.987664
4	0.25	0.986977	0.967745	0.987664
4	0.5	0.984935	0.962907	0.987664
4	1	0.985067	0.963228	0.987664
4	2	0.985796	0.964965	0.987664
4	4	0.986449	0.966515	0.987664
4	8	0.986776	0.967279	0.987664
4	16	0.987086	0.968	0.987664
4	32	0.987268	0.968405	0.987664
8	0.03125	0.981472	0.953103	0.987664
8	0.0625	0.986358	0.966024	0.987664
8	0.125	0.987368	0.968666	0.987664
8	0.25	0.985471	0.964172	0.987664
8	0.5	0.984874	0.962761	0.987664
8	1	0.985169	0.963468	0.987664
8	2	0.985855	0.965096	0.987664
8	4	0.986465	0.96654	0.987664
8	8	0.98673	0.967148	0.987664
8	16	0.986891	0.967498	0.987664
8	32	0.986882	0.967419	0.987664
16	0.03125	0.985755	0.964453	0.987664
16	0.0625	0.987233	0.968313	0.987664
16	0.125	0.986033	0.965492	0.987664
16	0.25	0.984931	0.962892	0.987664
16	0.5	0.984803	0.962595	0.987664
16	1	0.98524	0.963631	0.987664
16	2	0.985908	0.965213	0.987664
16	4	0.986391	0.966343	0.987664
16	8	0.986529	0.966631	0.987664
16	16	0.986543	0.966602	0.987664
16	32	0.986242	0.965778	0.987664
32	0.03125	0.987014	0.967729	0.987664
32	0.0625	0.987139	0.968102	0.987664
32	0.125	0.985285	0.963718	0.987664
32	0.25	0.984834	0.96266	0.987664
32	0.5	0.984898	0.962816	0.987664
