/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
2	0.9777	0.612174	0.97815
4	0.9777	0.612174	0.97815
8	0.976087	0.558029	0.97815
16	0.97555	0.539981	0.97815
32	0.97555	0.539981	0.97815
/******************************************/

Best PAI_C: 	0.03125
Best PAII_C:	1
Best AROW_r=0.5	 AROW_eta=8
Best AROWC_r=0.0625
