/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.5	0.904662	0.882267	0.907846
1	0.907303	0.885892	0.907846
2	0.904369	0.879187	0.907846
4	0.906325	0.884221	0.907846
8	0.896805	0.874049	0.907846
16	0.899152	0.877012	0.907846
32	0.905118	0.883958	0.907846
/******************************************/

Best PAI_C: 	0.03125
Best PAII_C:	0.03125
Best AROW_r=4	 AROW_eta=1
Best AROWC_r=0.03125
