/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.5	0.968087	0.836297	0.970285
1	0.96637	0.830868	0.970285
2	0.966343	0.828109	0.970285
4	0.965943	0.826159	0.970285
8	0.968185	0.838582	0.970285
16	0.968327	0.839322	0.970285
32	0.967304	0.834549	0.970285
/******************************************/

Best PAI_C: 	0.03125
Best PAII_C:	1
Best AROW_r=32	 AROW_eta=0.0625
Best AROWC_r=0.25
