/******************************************/
PAI_C	 Acc	 F1	 Max_Acc
0.5	0.856752	0.644164	0.872416
1	0.861911	0.655975	0.872416
2	0.856566	0.643147	0.872416
4	0.852789	0.636535	0.872416
8	0.854577	0.640478	0.872416
16	0.855556	0.6448	0.872416
32	0.858081	0.658696	0.872416
/******************************************/

Best PAI_C: 	2
Best PAII_C:	0.0625
Best AROW_r=0.5	 AROW_eta=2
Best AROWC_r=0.03125
