/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1	0.958271	0.95832	0.958271
2	0.956507	0.956568	0.958271
4	0.956464	0.956548	0.958271
8	0.957421	0.957512	0.958271
16	0.959807	0.959868	0.959807
32	0.958586	0.958588	0.959807
/******************************************/

Best PAI_C: 	1
Best PAII_C:	2
Best AROW_r=0.5	 AROW_eta=1
Best AROWC_r=16
