/******************************************/
PAI_C	 Acc	 F1	 Max_F1
1	0.704433	0.708743	0.704433
2	0.706492	0.711757	0.706492
4	0.70664	0.711975	0.70664
8	0.707778	0.715247	0.707778
16	0.706831	0.717023	0.707778
32	0.706593	0.719238	0.707778
/******************************************/

Best PAI_C: 	0.125
Best PAII_C:	0.03125
Best AROW_r=8	 AROW_eta=0.25
Best AROWC_r=8
